grouping,dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score,"",Site_Name,Other_Name,Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
236,10031280,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10031280,M009947,,Lucky Spot Group,37.68882,-119.79431,NA,United States,California,Mariposa,M,Tungsten,,,Unknown,,N,Occurrence,,,,,,,,,,,"Gere, W.",,,,,,,"CALIF. JOUR. MINES & GEOLOGY, V. 53, NOS. 1 & 2, JAN.-APRIL, 1957, P. 331",,,,,,,,,D,,,,,,,,,,,,,,,,,
236,10035292,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035292,M022591,,Lucky Spot Group,37.68215,-119.78376,NA,United States,California,Mariposa,M,,,Tungsten,Unknown,,N,Occurrence,,,,,,,,,,,"Fraticelli, L. A. (Albers, J.)",,,,,,,"BOWEN, O. E. AND CLIFFTON, G. H., 1957, MINES AND MINERAL RESOURCES, MARIPOSA COUNTY;  CA. JOUR. MINES AND GEOLOGY, VOL. 53, NO. 1 & 2, DIV. OF MINES, P. 331",,,,,,,,,D,,,,,,,,,,,,,,,,,
236,10212124,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10212124,M009947,60430674,Lucky Spot Group,37.68103,-119.79158,NA,United States,California,Mariposa,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,CALIF JOUR MINES &GEOL V53 NOS 1&2JAN-APR 1957 P331,,,,,,,,,D,,,,,,,,,,,,,,,,,
237,10031278,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10031278,M009945,,Maybe,37.68882,-119.79431,NA,United States,California,Mariposa,M,Tungsten,,,Unknown,,N,Occurrence,,,,,,,,,,,"Gere, W.",,,,,,,"CALIF. JOUR. MINES & GEOLOGY, V. 53, NOS. 1 & 2, JAN.-APRIL, 1957, P. 331",,,,,,,,,D,,,,,,,,,,,,,,,,,
237,10286256,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10286256,M009945,60430672,Maybe,37.68383,-119.78378,NA,United States,California,Mariposa,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,CALIF JOUR MINES &GEOL V53 NOS 1&2JAN-APR 1957 P331,,,,,,,,,D,,,,,,,,,,,,,,,,,
238,10031282,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10031282,M009949,,Reported Deposit,37.68882,-119.77598,NA,United States,California,Mariposa,M,Tungsten,,,Unknown,,N,Occurrence,,,,,,,,,,,"Gere, W.",,,,,,,"D.O.M. EC. MIN. MAP OF CALIF. - NO. 4, TUNGSTEN, 1942",,,,,,,,,D,,,,,,,,,,,,,,,,,
238,10163787,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10163787,,60430676,Reported Deposit,37.68803,-119.76268,NA,United States,California,Mariposa,M,Tungsten,,,Unknown,,,Prospect,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,DOM EC MIN MAP OF CALIF NO 4 TUNG-STEN 1942NO PRODUCTION REPORTED,,,,,,,,,D,,,,,,,,,,,,,,,,,
239,10031279,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10031279,M009946,,Victory Tungsten,37.68882,-119.79431,NA,United States,California,Mariposa,M,Tungsten,,,Unknown,,S,Producer,,,,,,,,,,,"Gere, W.",,,,,,,"CALIF. JOUR. MINES & GEOLOGY, V. 53, NOS. 1 & 2, JAN.-APRIL, 1957, P. 331",,,,,,,,,D,,,,,,,,,,,,,,,,,
239,10261765,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10261765,M009946,60430673,Victory Tungsten,37.68183,-119.78038,NA,United States,California,Mariposa,M,Tungsten,,,Unknown,,,Prospect,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,CALIF JOUR MINES &GEOL V53 NOS 1&2JAN-APR 1957 P331,,,,,,,,,D,,,,,,,,,,,,,,,,,
24,10009188,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10009188,D001913,,Garnet Dike Mine,36.89995,-119.01762,NA,United States,California,Fresno,M,"Tungsten, Bismuth",,,Unknown,,Y,Producer,Scheelite,,,,,,,,,,"Miller, M. H.",,Skarn (Tactite),,,,,"COOPER, J. R., 1962, BISMUTH OF U.S.: USGS MR - 22",,,,,,,,,D,,,,,,,,,,,,,,,,,
24,10101388,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10101388,D000871,,Garnet Dike,36.88328,-119.01762,NA,United States,California,Fresno,M,Tungsten,"Molybdenum, Copper",,Unknown,,S,Past Producer,"Chalcopyrite, Molybdenite, Pyrite, Scheelite","Calcite, Epidote, Garnet, Pyroxene, Quartz",,,Surface/Underground,,,,,,"Elliott, James E., Fraticelli, L. A. (Albers, J.), Mosier, Dan",,Marble,,Diorite,,,"KRAUSKOPF, K.B., 1953;  TUNGSTEN DEPOSITS OF MADERA, FRESNO, TULARE COUNTIES;  SPEC. REPT. 35;  DIV. OF PROD. MINES, P. 76.LEMMON, D.M.;  TUNGSTEN DEPOSITS IN THE US;  VOL. I;  UNPUBLISHED DATA, P. 178-180.LEMMON, D.M. AND TWETO, O.L., 1962;  TUNGSTEN IN THE US;  USGS MAP, MR-25.",,,,,,,1940-1945,,B,,,,,,,,,,,,,,,,,
24,10211881,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10211881,D000871,60190323,Garnet Dike,36.87745,-119.01285,NA,United States,California,Fresno,M,Tungsten,,,Surface-Underground,,,Unknown,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,"CJMG V 47,NO 3,JULY 1951,P 532,PL 31;DOM SR 35,P 13-14,70",,,,,,,,,D,,,,,,,,,,,,,,,,,
